,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
2289,EN00122,2927,29/07/2010,EF Energy,Owenreagh Extension,Wind Onshore,,,5.1,,,,,0.85,6.0,,,Operational,Operational,"Land near Craignagapple 10km South East of Strabane, County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,"57,401","558,796",Northern Ireland Planning Service,,,,,,01/01/2004,,,,,,,01/10/2005,,,,,,01/08/2008
2290,EN00123,2928,16/08/2012,Munich Re (previously Wind Prospect),Bagmoor,Wind Onshore,,,16,,,,,2.0,8.0,,,Operational,Operational,2km East of Flixborough,Humberside,Yorkshire and Humber,England,,"488,240","415,400",North Lincolnshire Council,,,,,,15/01/2005,,,,,,,01/04/2006,,,,,,01/07/2009
2294,EN00137,2932,04/12/2009,Croda Chemicals,Croda Chemicals Europe,Wind Onshore,,,3,,,,,3.0,1.0,,,Operational,Operational,"Croda International Plc
Cowick Hall
Snaith
Goole
East Yorkshire
DN14 9AA",Humberside,Yorkshire and Humber,England,,"465,670","421,110",East Riding of Yorkshire Council,,,,,,25/04/2006,,,,,,,16/10/2006,,,,,,01/10/2008
2296,EN00141,2935,23/10/2009,,"Eastman Chemicals, Workington",Wind Onshore,,,4,,,,,2.0,2.0,,,Operational,Operational,"Eastman Chemical Workington Ltd, Siddick, Workington, Cumbria, CA14 1LG",Cumbria,North West,England,,"300,775","531,765",Allerdale Borough Council,2/2003/0721/A,,,,,24/06/2003,,08/09/2003,,,,,,,,,,01/08/2006,01/10/2006
2299,EN00153,2938,07/12/2010,Npower Renewables,Lindhurst Wind Farm,Wind Onshore,,,15,,,,,3.0,5.0,,,Operational,Operational,"Lindhurst, South of Mansfield",Nottinghamshire,East Midlands,England,,"456,880","358,150",Ashfield District Council,,,,,,01/06/2006,,,,,,,21/09/2007,,,,,01/01/2010,04/11/2010
2300,EN00158,2940,09/06/2010,Scotia Wind Ltd,Craigengelt,Wind Onshore,,,20,,,,,2.5,8.0,,,Operational,Operational,"Craigengelt Hill, Stirling",Stirling,Scotland,Scotland,,"272,451","686,495",Stirling Council,,,,,,01/12/2006,,,,,,,12/02/2008,,,,,01/05/2009,31/03/2010
2302,EN00165,2942,09/06/2010,Yorkshire Water,Saltend Wind Turbine,Wind Onshore,,,1.3,,,,,1.3,1.0,,,Operational,Operational,"Hull Waste Water Treatment Works, Hull Road, Saltend, Hull, HU12",Humberside,Yorkshire and Humber,England,,"516,400","429,000",East Riding of Yorkshire Council,,,,,,07/12/2005,,,,,,,06/03/2006,,,,,,01/11/2007
2303,EN00166,2943,23/08/2017,Yorkshire Water,Loftsome Bridge,Wind Onshore,,,1.3,,,,,1.0,2.0,,,Operational,Operational,"Loftsome Bridge Water Treatment Works, Water Treatment Works Acc Rd, Barmby On The Marsh, East Riding Of Yorkshire, DN14 6ET",Humberside,Yorkshire and Humber,England,,"470,140","429,460",Selby District Council,,,,,,28/06/2006,,,,,,,31/01/2007,,,,,,01/02/2008
2304,EN00167,2944,23/10/2009,Nissan Manufacturing UK,Nissan Wind Farm,Wind Onshore,,,4,,,,,0.66,6.0,,,Operational,Operational,"Nissan plant, Sunderland",Tyne and Wear,North East,England,,"433,385","557,810",Sunderland City Council,,,,,,20/10/2004,,,,,,,01/08/2005,,,,,,01/11/2005
2310,EN00174,2950,02/11/2017,Nuon,Parc Cynog Extension,Wind Onshore,,,8.4,,,,,1.3,6.0,,,Operational,Operational,"Parc Cynog, Pendine, Carms",Dyfed,Wales,Wales,,"225,230","209,760",Carmarthenshire County Council,,,,,,02/02/2006,,,,,,,19/07/2007,,,,,,01/11/2009
2312,EN00177,2952,06/05/2009,Fenpower Limited,Ranson Moor (phase 1),Wind Onshore,,,6,,,,,2.0,3.0,,,Operational,Operational,"Land North of ransonmoor Farm 
Benwick Road
Doddington
Cambs, Cambridgeshire, PE15 0TY",Cambridgeshire,Eastern,England,,"537,950","292,470",Fenland District Council,,,,,,31/07/2003,,,,,,,25/04/2005,,,,,01/09/2006,01/05/2007
2313,EN00178,2953,04/06/2018,EcoGen Projects / Fenpower,Ranson Moor Wind Farm (Phase 2),Wind Onshore,,,4,,,,,2.0,2.0,,,Operational,Operational,"Land North East Of Ransonmoor Farm
Benwick Road
Doddington
March
Cambridgeshire, PE15 0TY",Cambridgeshire,Eastern,England,,"538,360","292,250",Fenland District Council,,,,,,18/05/2006,,,,,,,23/02/2007,,,,,,01/05/2007
2315,EN00184,2955,29/12/2014,ESBI,West Durham Wind Farm,Wind Onshore,,,24,,,,,2.0,12.0,,,Operational,Operational,"Land to the north of Tow Law, Co Durham",Durham,North East,England,,"412,000","541,000",Durham County Council,,,,,,01/01/2005,,,,,,,01/12/2005,,,,,,01/05/2009
2316,EN00185,2956,09/06/2010,Renewable Energy Systems (RES),Dyffryn Brodyn Wind Farm,Wind Onshore,,,5.5,,,,,0.5,11.0,,,Operational,Operational,"Dyffryn Brodyn Wind Farm, near Llanboidy, north of St Clears",Dyfed,Wales,Wales,,"221,900","226,800",Carmarthenshire County Council,,,,,,,,,,,,,01/01/1994,,,,,,01/12/1994
2325,EN00224,2965,05/10/2009,Green Cat Renewables,North Red Bog,Wind Onshore,,,1.6,,,,,0.8,2.0,,,Operational,Operational,"North Redbog
Strichen
Aberdeenshire
AB43 6RQ",Grampian,Scotland,Scotland,,"399,555","855,289",Aberdeenshire Council,,,,,,06/07/2007,,,,,,,07/03/2008,,,,,,23/06/2008
2327,EN00238,2968,04/12/2017,Gravis Capital Management,Milton Keynes Wind Farm,Wind Onshore,,,14,,,,,2.0,7.0,,,Operational,Operational,"Petsoe Manor Farm, Near Emberton",Buckinghamshire,South East,England,,"490,000","249,090",Milton Keynes Council,,,,,,18/08/2006,,,,,,,14/01/2008,,,,,01/04/2010,25/09/2010
2336,EN00315,2983,21/05/2010,,Broom Hill Farm,Wind Onshore,,,8,,,,,2.0,4.0,,,Operational,Operational,"Broom Hill Farm
Wolsingham Road
Stanley
Crook
Durham",Durham,North East,England,,"415,500","539,500",Durham County Council,,,,,,02/02/2006,,,,,,,08/12/2006,,,,,,16/02/2009
2339,EN00319,2986,04/12/2017,Gravis Capital Management,Winscales Moor,Wind Onshore,,,6,,,,,0.85,7.0,,,Operational,Operational,Winscales Moor,Cumbria,North West,England,,"303,500","528,500",Allerdale Borough Council,,,,,,01/10/2006,,,,,,,20/06/2007,,,,,01/12/2008,01/05/2009
2340,EN00330,2988,13/09/2011,SLP Energy,Wind Farm Africa Alive,Wind Onshore,,,4.1,,,,,2.05,2.0,,,Operational,Operational,"Whites Lane
Kessingland
Lowestoft
Suffolk
NR33 7T",Suffolk,Eastern,England,,"651,905","286,095",Waveney District Council,APP/002/2008,,,,,18/12/2006,,28/01/2008,,,,01/05/2008,01/05/2008,,,,,01/05/2011,01/06/2011
2343,EN00337,2991,04/04/2018,Midefearn Renewables,Beinn Tharsuinn Extension (Beinn nan Oighrean),Wind Onshore,,,4.6,,,,,2.3,2.0,,,Operational,Operational,"Beinn Tharsuinn Wind Farm, Edderton, Highland.",Highland,Scotland,Scotland,,"266,440","879,840",Highland Council,,,,,,19/01/2007,,,,,,,11/12/2008,,,,,,01/07/2009
2348,EN00354,2999,21/05/2010,Green Cat Renewables,St John's Well,Wind Onshore,,,2.4,,,,,0.8,3.0,,,Operational,Operational,"St John's Wells
Fyvie
Formartine
Aberdeenshire",Grampian,Scotland,Scotland,,"380,570","837,410",Aberdeenshire Council,,,,,,02/10/2006,,,,,,,20/03/2007,,,,,,15/07/2009
2350,EN00359,3002,15/03/2012,Npower Renewables,Hellrigg Wind farm - Resubmission,Wind Onshore,,,9.2,,,,,2.5,4.0,,,Operational,Operational,"Park Head Farm
Silloth
Carlisle",Cumbria,North West,England,,"313,585","551,775",Allerdale Borough Council,,,,,,29/01/2007,,11/12/2007,,,,,,,,,,01/05/2011,14/09/2011
2358,EN00394,3015,03/10/2018,Innogy,Bryn titli Windfarm,Wind Onshore,,,9.9,,,,,0.45,22.0,,,Operational,Operational,"Bryntitli Platuae, North of Rhayader
Powys",Powys,Wales,Wales,,"293,500","275,500",Powys County Council,,,,,,12/03/1993,,,,,,,09/08/1993,,,,,,01/06/1994
2360,EN00402,3019,09/02/2011,Good Energy Generation,Delabole (Repowering),Wind Onshore,,,9.2,,,,,2.3,4.0,,,Operational,Operational,"Delebole
North Cornwall",Cornwall,South West,England,,"208,800","85,500",Cornwall Council,,,,,,06/04/2008,,,,,,,12/12/2009,,,,,01/07/2010,01/02/2011
2361,EN00406,3021,04/07/2012,REG Windpower (previously Cornwall Light and Power),Whittlesey,Wind Onshore,,,9,,,,,3.0,3.0,,,Operational,Operational,"McCain's Food, Funtham's Lane, Whittlesey, Peterborough",Cambridgeshire,Eastern,England,PE7 2PG,"524,027","297,139",Fenland District Council,,,,,,13/04/2007,,,,,,,09/07/2007,,,,,01/11/2007,03/09/2008
2367,EN00424,3028,28/07/2009,,Advanced Manufacturing Research Centre,Wind Onshore,,,2.6,,,,,1.3,2.0,,,Operational,Operational,"Advanced Manufacturing Park
Wallis Way
Catcliffe
Rotherham
S60 5TZ",South Yorkshire,Yorkshire and Humber,England,,"441,475","388,039",Rotherham Metropolitan Borough Council,,,,,,01/01/2007,,,,,,,01/06/2007,,,,,,20/01/2009
2372,EN00438,3034,08/10/2013,Solutia / Vestas,Solutia UK Ltd,Wind Onshore,,,5,,,,,2.5,2.0,,,Operational,Operational,"Traston Road, Newport, South Wales",Gwent,Wales,Wales,NP14 4XF,"333,375","185,740",Newport City Council,,,,,,05/11/2008,,,,,,,19/01/2009,,,,,01/09/2009,17/12/2009
2383,EN00501,3050,06/04/2011,Hallam Land Management,High Haswell Wind Farm,Wind Onshore,,,4,,,,,2.0,2.0,,,Operational,Operational,"Colliery Farm, Green Lane, High Haswell",Durham,North East,England,,"436,675","543,772",Durham County Council,,,,,,03/04/2007,,,,,,,18/12/2007,,,,,01/01/2011,10/03/2011
2390,EN00551,3057,04/12/2009,CELTPOWER LTD,Llandinam Windfarm,Wind Onshore,,,31,,,,,0.3,103.0,,,Operational,Operational,10km south of Newtown,Powys,Wales,Wales,,"302,840","283,645",Powys County Council,,,,,,,,,,,,,,,,,,,01/01/1993
2394,EN00563,3061,04/07/2012,REG Windpower (previously  Cornwall Light & Power),Goonhilly Downs Wind Farm Repower,Wind Onshore,,,12,,,,,2.0,6.0,,,Operational,Operational,"Goonhilly Downs Wind Farm, Bonython Manor, Cury Cross Lanes, Helston, Cornwall, TR12 7BA",Cornwall,South West,England,,"171,000","21,600",Cornwall Council,,,,,,21/12/2007,,,,,,,04/08/2008,,,,,01/08/2010,01/11/2010
2400,EN00598,3068,09/02/2011,,MSD Cramlington,Wind Onshore,,,4,,,,,2.0,2.0,,,Operational,Operational,"Shotton Lane, Cramlington, Northumberland, NE23 3JU",Northumberland,North East,England,,"424,206","578,852",Northumberland County Council,APP/N2915/A07/2051193/NWF,,,,,12/12/2006,,31/07/2007,,,,24/07/2008,24/07/2008,,,,,01/09/2010,20/01/2011
2406,EN00628,3075,21/05/2010,Private Developer,Skelmonae Wind Farm,Wind Onshore,,,3.2,,,,,0.9,4.0,,,Operational,Operational,"Skelmonae
Methlick
Ellon
AB41 7JR",Grampian,Scotland,Scotland,,"388,702","836,734",Aberdeenshire Council,,,,,,06/07/2007,,,,,,,24/02/2009,,,,,,20/12/2009
2408,EN00647,3077,01/06/2009,,Carn Vean,Wind Onshore,,,10,,,,,2.0,5.0,,,Operational,Operational,"Carn Vean, Tretheague Mill, Stithians, Truro, Cornwall",Cornwall,South West,England,TR3 7BY,"172,528","35,961",Cornwall Council,,,,,,26/06/2008,,,,,,,11/09/2008,,,,,,30/10/2008
2409,EN00649,3078,06/12/2010,Dewlay Cheese Company,Dewlay Cheese Wind Turbine,Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"Dew Lay Products Limited
Garstang Pass Road, Garstang, Preston PR3 0PR.",Lancashire,North West,England,,"348,440","443,850",Wyre Borough Council,,,,,,27/06/2008,,04/09/2008,,,,,,,,,,01/10/2010,01/11/2010
2410,ENA0002,3079,09/06/2010,Renewable Energy Systems (RES),Coal Clough Wind Farm,Wind Onshore,,,9.6,,,,,0.4,24.0,,,Operational,Operational,Burnley,Lancashire,North West,England,,"390,207","428,154",Burnley Borough Council,,,,,,25/11/1991,,,,,,,03/07/1992,,,,,,01/02/1993
2420,N00007W,3090,27/11/2001,National Energy Laboratories (NEL),Myres Hill,Wind Onshore,,,1.8,,,,,0.9,2.0,,,Operational,Operational,Galloway,Strathclyde,Scotland,Scotland,,"256,840","646,620",East Renfrewshire Council,,,,,,01/05/1999,,,,,,,31/08/2001,,,,,,01/11/2001
2421,N00011W,3092,04/07/2012,REG Windpower (previously Cornwall Light & Power),High Sharpley Wind Farm,Wind Onshore,,,2.6,,,,,1.3,2.0,,,Operational,Operational,"High Sharpley and South Sharpley Farms
Near Seaham
County Durham",Durham,North East,England,,"442,644","549,702",Durham County Council,,,,,,09/04/2002,,,,,,,13/06/2002,,,,,,01/12/2006
2422,N00014W,3093,05/11/2009,NEL ,National Wind Turbine Test Site,Wind Onshore,,,4.7,,,,,2.3,2.0,,,Operational,Operational,"National Wind Turbine 
Test site
Myres Hill
Eaglesham",Strathclyde,Scotland,Scotland,,"256,500","646,500",East Renfrewshire Council,,,,,,19/08/1999,,,,,,,01/08/2000,,,,,,15/02/2001
2425,N00019W,3096,09/07/2009,RWE npower,Little Cheyne Court Wind Farm,Wind Onshore,,,59.8,,,,,2.3,26.0,,,Operational,Operational,"Little Cheyne Court, Romney Marsh
Near Lydd
Kent",Kent,South East,England,,"598,310","122,060",DECC (S36),,,,,,28/11/2002,,18/10/2005,,,,18/10/2005,18/10/2005,,,,,01/07/2008,01/06/2009
2426,N0001W1,3097,23/02/2010,"Colham Energy Ltd, plus Airtricty extrension",Bessy Bell Wind Farm,Wind Onshore,,,5,,,,,0.5,10.0,,,Operational,Operational,"Bessy Bell Mountain Baronscourt Estate Newtownstewart, County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,"49,687","547,922",Northern Ireland Planning Service,,,,,,21/06/1994,,,,,,,16/11/1994,,,,,,01/10/1995
2428,N00026W,3101,22/04/2009,Snow Mountain Investment Ltd,Long Hill Road,Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"Foundry Way
Longhill Road
March",Cambridgeshire,Eastern,England,,"541,686","299,303",Fenland District Council,,,,,,03/07/2001,,,,,,,07/04/2003,,,,,,01/01/2005
2430,N0002W1,3103,29/08/2017,B9 Energy Services Ltd/ ScottishPower Renewables,Corkey Wind Farm,Wind Onshore,,,5,,,,,0.5,10.0,,,Operational,Operational,"Slievenahanaghen Mountain
(Accessed via Corkey Road)
Cloughmills
County Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,"126,222","580,523",Northern Ireland Planning Service,,,,,,22/11/1993,,,,,,,29/06/1994,,,,,,01/12/1994
2432,N00037W,3105,03/02/2010,SLP Energy,Ness point Wind Turbine 1,Wind Onshore,,,2.3,,,,,2.3,1.0,,,Operational,Operational,"Land off North Beach Industrial Estate
Off Wilde Street
Nesspoint
Lowestoft",Suffolk,Eastern,England,,"655,480","293,595",Waveney District Council,,,,,,31/10/2001,,,,,,,27/09/2002,,,,,,01/12/2004
2433,N0003W1,3106,29/08/2017,B9 Energy Services Ltd/ ScottishPower Renewables,Elliot's Hill Wind Farm,Wind Onshore,,,5,,,,,0.5,10.0,,,Operational,Operational,"Elliot's Hill
Tildarg
near Ballyclare
County Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,"134,974","546,006",Northern Ireland Planning Service,,,,,,18/11/1993,,,,,,,26/10/1994,,,,,,01/04/1995
2435,N00044W,3108,18/05/2017,Innogy (formerly RWE npower),Causeymire,Wind Onshore,,,48.3,,,,,2.0,24.0,,,Operational,Operational,"Causey Mire, Caithness, Highlands",Highland,Scotland,Scotland,,"336,736","951,086",Highland Council,,,,,,01/11/2001,,,,,,,19/11/2002,,,,,,01/06/2004
2436,N00045W,3109,06/05/2009,Scottish and Southern Energy (SSE),Hadyard Hill,Wind Onshore,,,120,,,,,2.3,52.0,,,Operational,Operational,"Hadyard Hill, East of Girvan, South Ayrshire",Strathclyde,Scotland,Scotland,,"226,478","599,253",Scottish Government (S36),,,,,,27/05/2003,,,,,,,29/12/2003,,,,,01/05/2006,08/05/2006
2437,N00046W,3110,09/05/2013,Powergen,Hare Hill (B),Wind Onshore,,,2.7,,,,,1.35,2.0,,,Operational,Operational,"Hare Hill, Durham",Durham,North East,England,,"437,735","540,895",Durham County Council,,,,,,01/04/1994,,,,,,,01/03/1997,,,,,,02/07/2004
2439,N0004W1,3112,29/08/2017,B9 Energy Services Ltd/ ScottishPower Renewables,Rigged Hill Wind Farm,Wind Onshore,,,5,,,,,0.5,10.0,,,Operational,Operational,"Rigged Hill, 11km east of Limavady, County Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,"92,064","580,329",Northern Ireland Planning Service,,,,,,19/11/1993,,,,,,,01/07/1994,,,,,,01/11/1994
2440,N00050W,3113,05/01/2015,Greencoat UK Wind,Bin Mountain,Wind Onshore,,,9,,,,,1.5,6.0,,,Operational,Operational,"Lough Hill
Castle Craig, Curraghmacall
Drummahon,",Co. Tyrone,Northern Ireland,Northern Ireland,,"38,520","541,806",Northern Ireland Planning Service,,,,,,04/05/2001,,,,,,,01/02/2006,,,,,01/12/2006,01/02/2007
2441,N00051W,3114,07/04/2010,Fred Olsen Renewables,Crystal Rig Phase 1,Wind Onshore,,,62.5,,,,,2.5,25.0,,,Operational,Operational,"Crystal Rig, Scottish Borders",Borders,Scotland,Scotland,,"368,350","665,650",Scottish Government (S36),,,,,,01/04/2001,,,,,,,22/01/2003,,,,,,30/06/2004
2443,N00056W,3116,14/12/2011,Scottish Power Renewables,Black Law,Wind Onshore,,,124,,,,,2.3,54.0,,,Operational,Operational,"Black Law, Climpy",Strathclyde,Scotland,Scotland,,"289,500","653,500",Scottish Government (S36),,,,,,22/05/2002,,,,,,,13/02/2004,,,,,,31/05/2004
2444,N00057W,3117,06/08/2004,Airtricity,Ardrossan,Wind Onshore,,,24,,,,,2.0,12.0,,,Operational,Operational,"Near Ardrossan
North Ayreshire",Strathclyde,Scotland,Scotland,,"223,500","642,500",North Ayrshire Council,,,,,,24/05/2002,,,,,,,13/01/2003,,,,,,19/12/2003
2445,N0005W1,3118,23/02/2010,EF Energy,Owenreagh Wind Farm,Wind Onshore,,,5,,,,,0.5,10.0,,,Operational,Operational,"Land near Craignagapple 10km South East of Strabane 
County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,"57,111","559,168",Northern Ireland Planning Service,,,,,,30/10/1995,,,,,,,04/04/1996,,,,,,01/01/1997
2446,N00060W,3119,05/01/2015,Greencoat UK Wind,Braes O'Doune,Wind Onshore,,,72,,,,,2.0,36.0,,,Operational,Operational,"Stirling,  2 km to the north of Braes of Doune",Stirling,Scotland,Scotland,,"272,590","710,500",Scottish Government (S36),,,,,,31/10/2002,,,,,,,05/10/2004,,,,,01/05/2006,01/09/2006
2447,N00067W,3120,05/10/2009,Vestas,Thorfinn Wind Farm - NM1500,Wind Onshore,,,1.5,,,,,1.5,1.0,,,Operational,Operational,"Burgar Hill, Orkney",Orkney Islands,Scotland,Scotland,,"334,600","1,025,700",Orkney Islands Council,,,,,,23/10/1998,,,,,,,22/11/1999,,,,,,01/04/2000
2449,N0006W1,3122,08/10/2013,Sean Quinn Group,Slieve Rushen Phase 1 Wind Farm,Wind Onshore,,,5,,,,,0.5,10.0,,,Operational,Operational,"Slieve Rushen
Derrylin
20km south of Enniskillen, County Fermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,,"33,019","491,811",Northern Ireland Planning Service,,,,,,15/05/1992,,,,,,,02/11/1992,,,,,,01/12/1995
2452,N00076W,3126,23/10/2009,Private Developer,Boulfruich,Wind Onshore,,,13,,,,,0.85,15.0,,,Operational,Operational,"Houstry
Dunbeath
Caithness",Highland,Scotland,Scotland,,"315,500","935,500",Highland Council,,,,,,17/09/2001,,,,,,,29/05/2002,,,,,,01/08/2005
2454,N00078W,3128,15/09/2010,Wind Prospect,Bicker Fen,Wind Onshore,,,26.7,,,,,2.0,13.0,,,Operational,Operational,"Bicker Fen, Bicker, Boston, Lincolnshire",Lincolnshire,East Midlands,England,,"519,870","339,325",Boston Borough Council,,,,,,10/03/2003,,,,,,,15/10/2004,,,,,01/06/2006,28/07/2008
2455,N00079W,3129,06/05/2009,Powergen / Wind Prospects,Stags Holt,Wind Onshore,,,18,,,,,2.0,9.0,,,Operational,Operational,"March
Cambridgeshire",Cambridgeshire,Eastern,England,,"544,000","299,000",Fenland District Council,,,,,,21/12/2001,,,,,,,23/05/2002,,,,,01/04/2007,01/10/2007
2456,N00081W,3130,05/01/2015,Greencoat UK Wind,Tappaghan,Wind Onshore,,,19.5,,,,,1.5,13.0,,,Operational,Operational,"Lack, Tappaghan Mountains, Northern Ireland",Co. Fermanagh,Northern Ireland,Northern Ireland,,"31,856","531,807",Northern Ireland Planning Service,,,,,,01/08/2002,,,,,,,03/11/2003,,,,,,01/02/2005
2458,N00083W,3132,06/05/2009,Fenland Windfarms Ltd,Glass Moor,Wind Onshore,,,16,,,,,2.0,8.0,,,Operational,Operational,"Glass Moor
Near Pondersbridge
Cambridgeshire",Cambridgeshire,Eastern,England,,"528,421","292,867",Fenland District Council,,,,,,25/11/2002,,,,,,,30/05/2003,,,,,,01/12/2005
2459,N00084W,3133,06/05/2009,Wind Prospect,Gedney Marsh,Wind Onshore,,,12,,,,,2.0,6.0,,,Operational,Operational,"Gedney Marsh
Gedney Drove End
Lincolnshire",Lincolnshire,East Midlands,England,,"542,014","328,596",South Holland District Council,,,,,,14/01/2003,,,,,,,27/09/2003,,,,,01/05/2006,15/07/2008
2460,N00088W,3135,06/05/2009,RDC Scotland (Renewable Development Co.),Ben Aketil,Wind Onshore,,,23,,,,,2.3,10.0,,,Operational,Operational,"Ben Aketil
Feorlig
Dunvegan",Highland,Scotland,Scotland,,"132,500","846,500",Highland Council,,,,,,30/08/2002,,,,,,,05/09/2005,,,,,,01/09/2007
2472,N00110W,3147,06/05/2009,RWE npower,Knabs Ridge Windfarm,Wind Onshore,,,16,,,,,2.0,8.0,,,Operational,Operational,"Land between Skipton Road and Penny Pot Lane, Selliscliffe, Harrogate",North Yorkshire,Yorkshire and Humber,England,,"423,069","455,946",Harrogate Borough Council,,,,,,23/04/2004,,04/11/2004,,,,,,,,,,01/03/2007,22/04/2008
2474,N00113W,3149,03/05/2012,Renewable Energy Systems (RES),Kelburn,Wind Onshore,,,28,,,,,2.0,14.0,,,Operational,Operational,"Largs
North Ayrshire",Strathclyde,Scotland,Scotland,,"224,000","655,000",North Ayrshire Council,,,,,,09/07/2004,,26/02/2007,,,,10/08/2009,10/08/2009,,,,,01/11/2010,02/05/2012
2480,N00121W,3155,31/03/2015,REG Windpower,Ramsey 1,Wind Onshore,,,1.8,,,,,1.8,1.0,,,Operational,Operational,"Rear of Packing Station
St Mary's Road
Ramsey
Cambs",Cambridgeshire,Eastern,England,,"528,800","284,900",Huntingdonshire District Council,,,,,,11/03/2003,,,,,,,23/04/2004,,,,,,30/09/2008
2482,N00123W,3157,04/12/2009,Ecotricity,Bambers Farm,Wind Onshore,,,9.6,,,,,0.6,8.0,,,Operational,Operational,"Mile Lane, Mablethorpe, Lincolnshire",Lincolnshire,East Midlands,England,,"549,195","382,820",East Lindsey District Council,,,,,,18/02/2003,,15/06/2003,,,,,,,,,,,01/11/2004
2483,N00124W,3158,05/08/2011,Ecotricity,Ford Wind Park - Dagenham,Wind Onshore,,,5.9,,,,,2.96,2.0,,,Operational,Operational,"Ford Motor Company Estate
Kent Avenue
Dagenham",Greater London,London,England,,"549,327","182,167",Barking and Dagenham London Borough Council,,,,,,07/03/2003,,,,,,,16/07/2003,,,,,,17/06/2004
2484,N00126W,3159,22/09/2004,Ecotricity,Swaffham Plashes II,Wind Onshore,,,1.8,,,,,1.79,1.0,,,Operational,Operational,"Old Sporle Road
Swaffham",Norfolk,Eastern,England,,"582,760","310,085",Breckland Council,,,,,,11/12/2001,,,,,,,30/09/2002,,,,,,15/07/2003
2486,N00129W,3161,06/05/2009,Ecotricity,Shooters Bottom Wind Park,Wind Onshore,,,2,,,,,2.0,1.0,,,Operational,Operational,"Shooters Bottom, Chewton Mendip,",Somerset,South West,England,,"359,380","150,740",Mendip District Council,,,,,,15/09/2003,,24/05/2005,,,,18/05/2006,18/05/2006,,,,,,16/06/2008
2491,N00144W,3168,02/08/2017,Bessy Bell Windfarm,Bessy Bell Extension,Wind Onshore,,,9,,,,,1.3,6.0,,,Operational,Operational,"Bessy Bell Moutain, 5km south of Newtownstewart, 17km south of Strabane and 9km northwest of Omagh",Co. Tyrone,Northern Ireland,Northern Ireland,,"50,592","547,973",Northern Ireland Planning Service,,,,,,03/06/2003,,,,,,,10/01/2005,,,,,,24/04/2008
2493,N00150W,3171,06/05/2009,Hainsford Energy,Caton Moor Windfarm Repowering,Wind Onshore,,,16,,,,,2.0,8.0,,,Operational,Operational,"Littledale,
Caton
Lancashire",Lancashire,North West,England,,"357,298","463,963",Lancaster City Council,02/01331/FUL,,,,,07/11/2002,,10/09/2003,,,,01/10/2004,01/10/2004,,,,,01/05/2006,01/06/2006
